id,fastq_1,fastq_2,outdir
MJ-2025-02-12-BOSDITPN_20250129_S6_L001,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPN_20250129_S6_L001_1.fastq.gz,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPN_20250129_S6_L001_2.fastq.gz,s3://nao-restricted/MJ-2025-02-12/siz/
MJ-2025-02-12-BOSDITPN_20250129_S6_L002,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPN_20250129_S6_L002_1.fastq.gz,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPN_20250129_S6_L002_2.fastq.gz,s3://nao-restricted/MJ-2025-02-12/siz/
MJ-2025-02-12-BOSDITPN_20250129_S6_L003,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPN_20250129_S6_L003_1.fastq.gz,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPN_20250129_S6_L003_2.fastq.gz,s3://nao-restricted/MJ-2025-02-12/siz/
MJ-2025-02-12-BOSDITPN_20250129_S6_L004,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPN_20250129_S6_L004_1.fastq.gz,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPN_20250129_S6_L004_2.fastq.gz,s3://nao-restricted/MJ-2025-02-12/siz/
MJ-2025-02-12-BOSDITPN_20250129_S6_L005,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPN_20250129_S6_L005_1.fastq.gz,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPN_20250129_S6_L005_2.fastq.gz,s3://nao-restricted/MJ-2025-02-12/siz/
MJ-2025-02-12-BOSDITPN_20250129_S6_L006,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPN_20250129_S6_L006_1.fastq.gz,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPN_20250129_S6_L006_2.fastq.gz,s3://nao-restricted/MJ-2025-02-12/siz/
MJ-2025-02-12-BOSDITPN_20250129_S6_L007,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPN_20250129_S6_L007_1.fastq.gz,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPN_20250129_S6_L007_2.fastq.gz,s3://nao-restricted/MJ-2025-02-12/siz/
MJ-2025-02-12-BOSDITPN_20250129_S6_L008,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPN_20250129_S6_L008_1.fastq.gz,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPN_20250129_S6_L008_2.fastq.gz,s3://nao-restricted/MJ-2025-02-12/siz/
MJ-2025-02-12-BOSDITPS_20250129_S9_L001,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPS_20250129_S9_L001_1.fastq.gz,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPS_20250129_S9_L001_2.fastq.gz,s3://nao-restricted/MJ-2025-02-12/siz/
MJ-2025-02-12-BOSDITPS_20250129_S9_L002,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPS_20250129_S9_L002_1.fastq.gz,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPS_20250129_S9_L002_2.fastq.gz,s3://nao-restricted/MJ-2025-02-12/siz/
MJ-2025-02-12-BOSDITPS_20250129_S9_L003,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPS_20250129_S9_L003_1.fastq.gz,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPS_20250129_S9_L003_2.fastq.gz,s3://nao-restricted/MJ-2025-02-12/siz/
MJ-2025-02-12-BOSDITPS_20250129_S9_L004,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPS_20250129_S9_L004_1.fastq.gz,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPS_20250129_S9_L004_2.fastq.gz,s3://nao-restricted/MJ-2025-02-12/siz/
MJ-2025-02-12-BOSDITPS_20250129_S9_L005,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPS_20250129_S9_L005_1.fastq.gz,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPS_20250129_S9_L005_2.fastq.gz,s3://nao-restricted/MJ-2025-02-12/siz/
MJ-2025-02-12-BOSDITPS_20250129_S9_L006,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPS_20250129_S9_L006_1.fastq.gz,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPS_20250129_S9_L006_2.fastq.gz,s3://nao-restricted/MJ-2025-02-12/siz/
MJ-2025-02-12-BOSDITPS_20250129_S9_L007,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPS_20250129_S9_L007_1.fastq.gz,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPS_20250129_S9_L007_2.fastq.gz,s3://nao-restricted/MJ-2025-02-12/siz/
MJ-2025-02-12-BOSDITPS_20250129_S9_L008,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPS_20250129_S9_L008_1.fastq.gz,s3://nao-restricted/MJ-2025-02-12/raw/MJ-2025-02-12-BOSDITPS_20250129_S9_L008_2.fastq.gz,s3://nao-restricted/MJ-2025-02-12/siz/
