id,fastq_1,fastq_2,outdir
240212Esv_6656R_D24-138003,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138003_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138003_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138004,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138004_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138004_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138005,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138005_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138005_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138006,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138006_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138006_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138007,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138007_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138007_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138010,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138010_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138010_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138011,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138011_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138011_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138012,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138012_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138012_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138013,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138013_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138013_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138014,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138014_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138014_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138016,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138016_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138016_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138017,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138017_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138017_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138018,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138018_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138018_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138019,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138019_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138019_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138020,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138020_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138020_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138021,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138021_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138021_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138022,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138022_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138022_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138023,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138023_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138023_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138024,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138024_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138024_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138025,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138025_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138025_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138026,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138026_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138026_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138027,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138027_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138027_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138028,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138028_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138028_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138029,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138029_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138029_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138030,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138030_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138030_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138031,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138031_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138031_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138032,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138032_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138032_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138101,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138101_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138101_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138102,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138102_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138102_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138103,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138103_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138103_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138105,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138105_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138105_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138106,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138106_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138106_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138107,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138107_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138107_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138108,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138108_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138108_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138109,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138109_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138109_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138110,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138110_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138110_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138111,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138111_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138111_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138113,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138113_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138113_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138114,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138114_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138114_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138115,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138115_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138115_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240212Esv_6656R_D24-138116,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138116_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240212Esv_6656R_D24-138116_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
240320_HCJJY_6656R_L4,s3://nao-restricted/NAO-240212Esv/raw/240320_HCJJY_6656R_L4_1.fastq.gz,s3://nao-restricted/NAO-240212Esv/raw/240320_HCJJY_6656R_L4_2.fastq.gz,s3://nao-restricted/NAO-240212Esv/siz/
